시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,등기신청일자,거래유형,중개사소재지
서울특별시 강남구 일원동,735,735,0,가람,84.95,200901,7,"77,500",1,1993,일원로 127,, ,-,-
서울특별시 강남구 일원동,735,735,0,가람,84.95,200901,15,"85,000",2,1993,일원로 127,, ,-,-
서울특별시 강남구 일원동,735,735,0,가람,84.95,200901,15,"86,000",3,1993,일원로 127,, ,-,-
서울특별시 강남구 일원동,735,735,0,가람,75.16,200901,29,"63,500",4,1993,일원로 127,, ,-,-
서울특별시 강남구 일원동,735,735,0,가람,84.95,200901,31,"78,000",5,1993,일원로 127,, ,-,-
서울특별시 강남구 일원동,735,735,0,가람,84.95,200902,11,"75,500",5,1993,일원로 127,, ,-,-
서울특별시 강남구 일원동,735,735,0,가람,75.16,200903,18,"66,000",2,1993,일원로 127,, ,-,-
서울특별시 강남구 일원동,735,735,0,가람,84.95,200903,21,"77,000",4,1993,일원로 127,, ,-,-
서울특별시 강남구 일원동,735,735,0,가람,84.95,200903,23,"84,500",2,1993,일원로 127,, ,-,-
서울특별시 강남구 일원동,735,735,0,가람,75.16,200904,7,"71,000",3,1993,일원로 127,, ,-,-
서울특별시 강남구 일원동,735,735,0,가람,75.16,200904,22,"73,000",5,1993,일원로 127,, ,-,-
서울특별시 강남구 일원동,735,735,0,가람,75.16,200905,7,"75,000",4,1993,일원로 127,, ,-,-
서울특별시 강남구 일원동,735,735,0,가람,84.95,200905,28,"82,000",5,1993,일원로 127,, ,-,-
서울특별시 강남구 일원동,735,735,0,가람,75.16,200905,29,"73,000",3,1993,일원로 127,, ,-,-
서울특별시 강남구 일원동,735,735,0,가람,75.16,200906,4,"74,250",3,1993,일원로 127,, ,-,-
서울특별시 강남구 일원동,735,735,0,가람,84.95,200906,12,"85,000",1,1993,일원로 127,, ,-,-
서울특별시 강남구 일원동,735,735,0,가람,84.95,200906,15,"93,000",2,1993,일원로 127,, ,-,-
서울특별시 강남구 일원동,735,735,0,가람,84.95,200906,26,"88,000",5,1993,일원로 127,, ,-,-
서울특별시 강남구 일원동,735,735,0,가람,75.16,200907,14,"75,000",1,1993,일원로 127,, ,-,-
서울특별시 강남구 일원동,735,735,0,가람,75.16,200907,25,"69,500",4,1993,일원로 127,, ,-,-
서울특별시 강남구 일원동,735,735,0,가람,84.95,200907,25,"94,000",4,1993,일원로 127,, ,-,-
서울특별시 강남구 일원동,735,735,0,가람,75.16,200908,25,"80,500",3,1993,일원로 127,, ,-,-
서울특별시 강남구 일원동,735,735,0,가람,84.95,200908,29,"95,000",3,1993,일원로 127,, ,-,-
서울특별시 강남구 일원동,735,735,0,가람,75.16,200909,19,"81,000",4,1993,일원로 127,, ,-,-
서울특별시 강남구 일원동,735,735,0,가람,75.16,200909,23,"78,600",4,1993,일원로 127,, ,-,-
서울특별시 강남구 일원동,735,735,0,가람,84.95,200911,25,"91,500",4,1993,일원로 127,, ,-,-
서울특별시 강남구 일원동,615-1,615,1,개포한신,107.6,200901,21,"71,000",13,1984,개포로110길 43,, ,-,-
서울특별시 강남구 일원동,615-1,615,1,개포한신,107.6,200902,14,"65,400",1,1984,개포로110길 43,, ,-,-
서울특별시 강남구 일원동,615-1,615,1,개포한신,107.6,200904,14,"72,000",13,1984,개포로110길 43,, ,-,-
서울특별시 강남구 일원동,615-1,615,1,개포한신,82.3,200904,25,"58,000",1,1984,개포로110길 43,, ,-,-
서울특별시 강남구 일원동,615-1,615,1,개포한신,107.6,200907,1,"77,500",13,1984,개포로110길 43,, ,-,-
서울특별시 강남구 일원동,615-1,615,1,개포한신,107.6,200908,14,"82,000",10,1984,개포로110길 43,, ,-,-
서울특별시 강남구 일원동,615-1,615,1,개포한신,82.3,200908,14,"67,400",10,1984,개포로110길 43,, ,-,-
서울특별시 강남구 일원동,615-1,615,1,개포한신,107.6,200908,20,"84,000",12,1984,개포로110길 43,, ,-,-
서울특별시 강남구 일원동,615-1,615,1,개포한신,82.3,200910,5,"68,500",10,1984,개포로110길 43,, ,-,-
서울특별시 강남구 일원동,615-1,615,1,개포한신,107.6,200912,30,"78,000",10,1984,개포로110길 43,, ,-,-
서울특별시 강남구 일원동,690-1,690,1,대우,65.1,200901,14,"59,000",5,1983,개포로110길 36,, ,-,-
서울특별시 강남구 일원동,690-1,690,1,대우,65.1,200902,12,"66,300",2,1983,개포로110길 36,, ,-,-
서울특별시 강남구 일원동,690-1,690,1,대우,90.09,200903,18,"89,000",1,1983,개포로110길 36,, ,-,-
서울특별시 강남구 일원동,690-1,690,1,대우,80.67,200905,10,"79,250",3,1983,개포로110길 36,, ,-,-
서울특별시 강남구 일원동,690-1,690,1,대우,80.67,200906,13,"80,000",4,1983,개포로110길 36,, ,-,-
서울특별시 강남구 일원동,690-1,690,1,대우,65.1,200909,17,"72,000",4,1983,개포로110길 36,, ,-,-
서울특별시 강남구 일원동,716,716,0,목련타운,99.79,200901,9,"92,000",5,1993,광평로19길 15,, ,-,-
서울특별시 강남구 일원동,716,716,0,목련타운,99.79,200901,15,"89,500",4,1993,광평로19길 15,, ,-,-
서울특별시 강남구 일원동,716,716,0,목련타운,134.71,200902,11,"113,500",2,1993,광평로19길 15,, ,-,-
서울특별시 강남구 일원동,716,716,0,목련타운,134.71,200902,18,"115,000",2,1993,광평로19길 15,, ,-,-
서울특별시 강남구 일원동,716,716,0,목련타운,99.79,200902,20,"96,000",8,1993,광평로19길 15,, ,-,-
서울특별시 강남구 일원동,716,716,0,목련타운,99.79,200902,27,"101,000",9,1993,광평로19길 15,, ,-,-
