시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,등기신청일자,거래유형,중개사소재지
서울특별시 강남구 일원동,735,735,0,가람,84.95,202203,25,"220,000",4,1993,일원로 127,, ,중개거래,서울 강남구
서울특별시 강남구 일원동,735,735,0,가람,84.95,202205,26,"230,000",5,1993,일원로 127,, ,중개거래,서울 강남구
서울특별시 강남구 일원동,735,735,0,가람,75.16,202210,4,"170,000",3,1993,일원로 127,, ,중개거래,서울 강남구
서울특별시 강남구 일원동,743,743,0,디에이치자이개포,84.94,202201,26,"208,273",29,2021,영동대로 22,, ,직거래,-
서울특별시 강남구 일원동,743,743,0,디에이치자이개포,84.72,202208,25,"150,000",23,2021,영동대로 22,, ,직거래,-
서울특별시 강남구 일원동,741,741,0,래미안 개포 루체하임,84.97,202204,15,"280,000",15,2018,개포로110길 50,, ,중개거래,서울 강남구
서울특별시 강남구 일원동,741,741,0,래미안 개포 루체하임,121.71,202205,14,"330,000",6,2018,개포로110길 50,, ,중개거래,서울 강남구
서울특별시 강남구 일원동,716,716,0,목련타운,99.79,202203,30,"253,000",5,1993,광평로19길 15,, ,중개거래,서울 강남구
서울특별시 강남구 일원동,716,716,0,목련타운,99.79,202208,31,"245,000",8,1993,광평로19길 15,, ,중개거래,"서울 강남구, 서울 송파구"
서울특별시 강남구 일원동,716,716,0,목련타운,134.71,202212,9,"210,000",14,1993,광평로19길 15,20230225, ,중개거래,서울 강남구
서울특별시 강남구 일원동,716,716,0,목련타운,134.71,202212,12,"227,000",6,1993,광평로19길 15,, ,중개거래,서울 강남구
서울특별시 강남구 일원동,734,734,0,상록수,74.54,202208,12,"189,000",5,1993,광평로10길 15,, ,중개거래,서울 강남구
서울특별시 강남구 일원동,734,734,0,상록수,74.54,202211,9,"160,000",1,1993,광평로10길 15,, ,중개거래,서울 강남구
서울특별시 강남구 일원동,718,718,0,샘터마을,101.97,202201,6,"265,000",10,1994,일원로 120,, ,중개거래,"서울 강남구, 서울 서초구"
서울특별시 강남구 일원동,718,718,0,샘터마을,134.438,202204,13,"275,000",11,1994,일원로 120,, ,중개거래,서울 강남구
서울특별시 강남구 일원동,711,711,0,수서,39.98,202203,1,"107,000",15,1992,양재대로55길 12,, ,중개거래,서울 강남구
서울특별시 강남구 일원동,711,711,0,수서,39.98,202203,2,"105,000",11,1992,양재대로55길 12,, ,중개거래,"서울 강남구, 서울 서초구"
서울특별시 강남구 일원동,711,711,0,수서,39.98,202203,19,"107,000",2,1992,양재대로55길 12,, ,중개거래,서울 강남구
서울특별시 강남구 일원동,711,711,0,수서,39.98,202205,14,"107,000",13,1992,양재대로55길 12,, ,중개거래,서울 강남구
서울특별시 강남구 일원동,711,711,0,수서,39.98,202206,11,"103,000",14,1992,양재대로55길 12,20221110, ,중개거래,"경기 광명시, 서울 강남구"
서울특별시 강남구 일원동,711,711,0,수서,49.68,202211,3,"100,000",10,1992,양재대로55길 12,, ,중개거래,서울 강남구
서울특별시 강남구 일원동,615,615,0,우성7,83.69,202203,30,"250,000",4,1987,개포로110길 15,, ,중개거래,서울 강남구
서울특별시 강남구 일원동,615,615,0,우성7,83.69,202205,11,"248,500",6,1987,개포로110길 15,, ,중개거래,서울 강남구
서울특별시 강남구 일원동,719,719,0,푸른마을아파트101동~111동,84.93,202202,12,"209,000",12,1994,일원로14길 25,, ,중개거래,서울 강남구
서울특별시 강남구 일원동,719,719,0,푸른마을아파트101동~111동,59.76,202203,17,"170,000",5,1994,일원로14길 25,, ,중개거래,서울 강남구
서울특별시 강남구 일원동,719,719,0,푸른마을아파트101동~111동,59.76,202205,25,"90,000",11,1994,일원로14길 25,, ,직거래,-
서울특별시 강남구 일원동,719,719,0,푸른마을아파트101동~111동,59.76,202210,12,"138,000",11,1994,일원로14길 25,, ,중개거래,서울 강남구
서울특별시 강남구 일원동,719,719,0,푸른마을아파트101동~111동,84.93,202210,12,"165,000",9,1994,일원로14길 25,, ,중개거래,서울 강남구
서울특별시 강남구 일원동,719,719,0,푸른마을아파트101동~111동,84.93,202211,2,"154,000",2,1994,일원로14길 25,20221219, ,중개거래,서울 강남구
서울특별시 강남구 일원동,719,719,0,푸른마을아파트101동~111동,59.76,202212,7,"131,000",10,1994,일원로14길 25,, ,중개거래,서울 강남구
서울특별시 강남구 일원동,731,731,0,한솔마을,84.73,202202,8,"182,000",1,1994,광평로10길 6,, ,중개거래,"서울 강남구, 서울 서초구"
서울특별시 강남구 일원동,731,731,0,한솔마을,63.76,202203,31,"178,000",2,1994,광평로10길 6,, ,중개거래,서울 강남구
서울특별시 강남구 일원동,731,731,0,한솔마을,63.76,202204,6,"188,500",1,1994,광평로10길 6,, ,중개거래,서울 강남구
서울특별시 강남구 일원동,614,614,0,현대4,84.98,202204,16,"199,000",11,1987,개포로110길 21,20230627, ,중개거래,서울 도봉구
서울특별시 강남구 일원동,614,614,0,현대4,84.98,202204,16,"199,000",11,1987,개포로110길 21,, ,중개거래,서울 도봉구
서울특별시 강남구 일원동,614,614,0,현대4,84.98,202208,22,"200,000",11,1987,개포로110길 21,, ,중개거래,서울 강남구
