시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,등기신청일자,거래유형,중개사소재지
서울특별시 강남구 도곡동,953-1,953,1,SK허브프리모,69.18,200802,25,"44,500",9,2006,강남대로 240,, ,-,-
서울특별시 강남구 도곡동,953-1,953,1,SK허브프리모,33.8,200803,11,"22,000",7,2006,강남대로 240,, ,-,-
서울특별시 강남구 도곡동,953-1,953,1,SK허브프리모,33.8,200804,7,"23,000",15,2006,강남대로 240,, ,-,-
서울특별시 강남구 도곡동,953-1,953,1,SK허브프리모,67.57,200805,7,"45,000",16,2006,강남대로 240,, ,-,-
서울특별시 강남구 도곡동,953-1,953,1,SK허브프리모,67.57,200805,8,"45,000",17,2006,강남대로 240,, ,-,-
서울특별시 강남구 도곡동,953-1,953,1,SK허브프리모,70.31,200805,10,"46,500",16,2006,강남대로 240,, ,-,-
서울특별시 강남구 도곡동,953-1,953,1,SK허브프리모,33.8,200805,28,"22,900",6,2006,강남대로 240,, ,-,-
서울특별시 강남구 도곡동,953-1,953,1,SK허브프리모,33.8,200806,18,"23,200",12,2006,강남대로 240,, ,-,-
서울특별시 강남구 도곡동,953-1,953,1,SK허브프리모,33.8,200807,29,"20,000",9,2006,강남대로 240,, ,-,-
서울특별시 강남구 도곡동,953-1,953,1,SK허브프리모,67.57,200808,13,"40,300",12,2006,강남대로 240,, ,-,-
서울특별시 강남구 도곡동,953-1,953,1,SK허브프리모,67.5,200808,18,"43,000",8,2006,강남대로 240,, ,-,-
서울특별시 강남구 도곡동,953-1,953,1,SK허브프리모,67.5,200808,21,"45,000",19,2006,강남대로 240,, ,-,-
서울특별시 강남구 도곡동,953-1,953,1,SK허브프리모,70.31,200812,16,"47,000",8,2006,강남대로 240,, ,-,-
서울특별시 강남구 도곡동,967,967,0,경남,84.94,200801,4,"72,000",10,2005,논현로 209,, ,-,-
서울특별시 강남구 도곡동,967,967,0,경남,59.76,200802,22,"54,000",5,2005,논현로 209,, ,-,-
서울특별시 강남구 도곡동,967,967,0,경남,59.76,200803,8,"56,000",18,2005,논현로 209,, ,-,-
서울특별시 강남구 도곡동,967,967,0,경남,59.76,200804,28,"55,000",7,2005,논현로 209,, ,-,-
서울특별시 강남구 도곡동,967,967,0,경남,59.76,200805,19,"53,500",3,2005,논현로 209,, ,-,-
서울특별시 강남구 도곡동,967,967,0,경남,59.76,200806,14,"54,000",6,2005,논현로 209,, ,-,-
서울특별시 강남구 도곡동,967,967,0,경남,84.94,200808,9,"71,000",10,2005,논현로 209,, ,-,-
서울특별시 강남구 도곡동,190-3,190,3,그랜빌캐슬,125.83,200804,16,"131,000",2,2003,남부순환로379길 35,, ,-,-
서울특별시 강남구 도곡동,190-3,190,3,그랜빌캐슬,102.33,200804,16,"81,000",2,2003,남부순환로379길 35,, ,-,-
서울특별시 강남구 도곡동,190-3,190,3,그랜빌캐슬,125.83,200806,12,"143,000",3,2003,남부순환로379길 35,, ,-,-
서울특별시 강남구 도곡동,190-3,190,3,그랜빌캐슬,143.87,200807,28,"130,000",4,2003,남부순환로379길 35,, ,-,-
서울특별시 강남구 도곡동,960,960,0,대림,84.93,200801,25,"69,700",10,1992,남부순환로365길 16,, ,-,-
서울특별시 강남구 도곡동,960,960,0,대림,84.93,200803,31,"72,000",5,1992,남부순환로365길 16,, ,-,-
서울특별시 강남구 도곡동,960,960,0,대림,84.93,200805,14,"75,000",11,1992,남부순환로365길 16,, ,-,-
서울특별시 강남구 도곡동,960,960,0,대림,84.93,200805,19,"72,500",4,1992,남부순환로365길 16,, ,-,-
서울특별시 강남구 도곡동,467-6,467,6,대림아크로빌,146.754,200803,13,"139,000",22,1999,언주로30길 13,, ,-,-
서울특별시 강남구 도곡동,467-6,467,6,대림아크로빌,168.456,200803,14,"200,000",37,1999,언주로30길 13,, ,-,-
서울특별시 강남구 도곡동,467-6,467,6,대림아크로빌,130.545,200803,14,"105,000",19,1999,언주로30길 13,, ,-,-
서울특별시 강남구 도곡동,467-6,467,6,대림아크로빌,138.657,200804,7,"163,000",46,1999,언주로30길 13,, ,-,-
서울특별시 강남구 도곡동,467-6,467,6,대림아크로빌,138.657,200805,13,"152,000",44,1999,언주로30길 13,, ,-,-
서울특별시 강남구 도곡동,467-6,467,6,대림아크로빌,172.464,200808,5,"173,000",12,1999,언주로30길 13,, ,-,-
서울특별시 강남구 도곡동,467-6,467,6,대림아크로빌,146.754,200811,12,"110,000",16,1999,언주로30길 13,, ,-,-
서울특별시 강남구 도곡동,467-6,467,6,대림아크로빌,172.467,200811,27,"150,000",9,1999,언주로30길 13,, ,-,-
서울특별시 강남구 도곡동,952,952,0,대우디오빌,23.34,200801,9,"11,500",12,2004,강남대로 256,, ,-,-
서울특별시 강남구 도곡동,952,952,0,대우디오빌,25.89,200802,5,"14,200",9,2004,강남대로 256,, ,-,-
서울특별시 강남구 도곡동,952,952,0,대우디오빌,25.89,200802,18,"12,000",14,2004,강남대로 256,, ,-,-
서울특별시 강남구 도곡동,952,952,0,대우디오빌,25.89,200802,25,"10,800",13,2004,강남대로 256,, ,-,-
서울특별시 강남구 도곡동,952,952,0,대우디오빌,23.34,200803,3,"13,000",4,2004,강남대로 256,, ,-,-
서울특별시 강남구 도곡동,952,952,0,대우디오빌,25.89,200803,3,"14,000",8,2004,강남대로 256,, ,-,-
서울특별시 강남구 도곡동,952,952,0,대우디오빌,31.81,200803,6,"17,000",8,2004,강남대로 256,, ,-,-
서울특별시 강남구 도곡동,952,952,0,대우디오빌,31.81,200803,11,"18,100",8,2004,강남대로 256,, ,-,-
서울특별시 강남구 도곡동,952,952,0,대우디오빌,31.81,200806,20,"17,500",8,2004,강남대로 256,, ,-,-
서울특별시 강남구 도곡동,952,952,0,대우디오빌,25.89,200806,26,"14,800",15,2004,강남대로 256,, ,-,-
서울특별시 강남구 도곡동,952,952,0,대우디오빌,25.89,200809,18,"16,000",10,2004,강남대로 256,, ,-,-
서울특별시 강남구 도곡동,952,952,0,대우디오빌,25.89,200812,9,"12,500",5,2004,강남대로 256,, ,-,-
서울특별시 강남구 도곡동,543-7,543,7,도곡1차아이파크,130.259,200801,30,"163,000",10,2007,도곡로28길 8,, ,-,-
서울특별시 강남구 도곡동,543-7,543,7,도곡1차아이파크,130.259,200803,11,"165,000",15,2007,도곡로28길 8,, ,-,-
서울특별시 강남구 도곡동,543-7,543,7,도곡1차아이파크,130.259,200804,22,"167,500",7,2007,도곡로28길 8,, ,-,-
서울특별시 강남구 도곡동,955,955,0,도곡그린빌,48.48,200804,1,"30,000",2,1995,강남대로44길 24,, ,-,-
서울특별시 강남구 도곡동,955,955,0,도곡그린빌,56.39,200804,7,"31,500",2,1995,강남대로44길 24,, ,-,-
서울특별시 강남구 도곡동,955,955,0,도곡그린빌,56.39,200809,15,"30,000",5,1995,강남대로44길 24,, ,-,-
서울특별시 강남구 도곡동,527,527,0,도곡렉슬,84.9984,200801,12,"131,500",2,2006,선릉로 221,, ,-,-
서울특별시 강남구 도곡동,527,527,0,도곡렉슬,84.9984,200801,16,"129,000",4,2006,선릉로 221,, ,-,-
