시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,등기신청일자,거래유형,중개사소재지
서울특별시 강남구 도곡동,953-1,953,1,SK허브프리모,67.57,201401,6,"41,000",8,2006,강남대로 240,, ,-,-
서울특별시 강남구 도곡동,953-1,953,1,SK허브프리모,33.8,201401,27,"29,300",13,2006,강남대로 240,, ,-,-
서울특별시 강남구 도곡동,953-1,953,1,SK허브프리모,67.57,201402,11,"47,000",9,2006,강남대로 240,, ,-,-
서울특별시 강남구 도곡동,953-1,953,1,SK허브프리모,67.5,201402,19,"49,000",20,2006,강남대로 240,, ,-,-
서울특별시 강남구 도곡동,953-1,953,1,SK허브프리모,67.57,201403,21,"49,000",11,2006,강남대로 240,, ,-,-
서울특별시 강남구 도곡동,953-1,953,1,SK허브프리모,33.8,201405,17,"29,400",9,2006,강남대로 240,, ,-,-
서울특별시 강남구 도곡동,953-1,953,1,SK허브프리모,33.8,201405,30,"29,000",19,2006,강남대로 240,, ,-,-
서울특별시 강남구 도곡동,953-1,953,1,SK허브프리모,67.57,201406,17,"45,000",10,2006,강남대로 240,, ,-,-
서울특별시 강남구 도곡동,953-1,953,1,SK허브프리모,33.8,201407,2,"29,300",15,2006,강남대로 240,, ,-,-
서울특별시 강남구 도곡동,953-1,953,1,SK허브프리모,67.57,201407,11,"48,000",7,2006,강남대로 240,, ,-,-
서울특별시 강남구 도곡동,953-1,953,1,SK허브프리모,70.31,201407,11,"49,000",8,2006,강남대로 240,, ,-,-
서울특별시 강남구 도곡동,953-1,953,1,SK허브프리모,33.8,201408,4,"28,800",12,2006,강남대로 240,, ,-,-
서울특별시 강남구 도곡동,953-1,953,1,SK허브프리모,63.09,201408,9,"46,000",19,2006,강남대로 240,, ,-,-
서울특별시 강남구 도곡동,953-1,953,1,SK허브프리모,70.31,201408,14,"50,000",14,2006,강남대로 240,, ,-,-
서울특별시 강남구 도곡동,953-1,953,1,SK허브프리모,67.5,201408,26,"49,000",8,2006,강남대로 240,, ,-,-
서울특별시 강남구 도곡동,953-1,953,1,SK허브프리모,67.57,201409,17,"48,200",11,2006,강남대로 240,, ,-,-
서울특별시 강남구 도곡동,953-1,953,1,SK허브프리모,48.64,201410,23,"40,000",19,2006,강남대로 240,, ,-,-
서울특별시 강남구 도곡동,953-1,953,1,SK허브프리모,67.57,201412,1,"47,000",17,2006,강남대로 240,, ,-,-
서울특별시 강남구 도곡동,967,967,0,경남,59.76,201401,16,"52,500",19,2005,논현로 209,, ,-,-
서울특별시 강남구 도곡동,967,967,0,경남,59.76,201401,21,"53,500",10,2005,논현로 209,, ,-,-
서울특별시 강남구 도곡동,967,967,0,경남,84.94,201401,22,"66,000",4,2005,논현로 209,, ,-,-
서울특별시 강남구 도곡동,967,967,0,경남,114.96,201402,6,"89,000",5,2005,논현로 209,, ,-,-
서울특별시 강남구 도곡동,967,967,0,경남,59.76,201402,17,"54,800",12,2005,논현로 209,, ,-,-
서울특별시 강남구 도곡동,967,967,0,경남,59.76,201402,27,"52,000",11,2005,논현로 209,, ,-,-
서울특별시 강남구 도곡동,967,967,0,경남,59.76,201403,7,"52,000",18,2005,논현로 209,, ,-,-
서울특별시 강남구 도곡동,967,967,0,경남,59.76,201403,19,"53,000",7,2005,논현로 209,, ,-,-
서울특별시 강남구 도곡동,967,967,0,경남,84.94,201405,2,"65,000",21,2005,논현로 209,, ,-,-
서울특별시 강남구 도곡동,967,967,0,경남,59.76,201405,13,"52,800",17,2005,논현로 209,, ,-,-
서울특별시 강남구 도곡동,967,967,0,경남,59.76,201405,15,"52,500",19,2005,논현로 209,, ,-,-
서울특별시 강남구 도곡동,967,967,0,경남,59.76,201405,18,"52,000",16,2005,논현로 209,, ,-,-
서울특별시 강남구 도곡동,967,967,0,경남,59.76,201407,2,"54,500",15,2005,논현로 209,, ,-,-
서울특별시 강남구 도곡동,967,967,0,경남,84.94,201407,5,"69,000",14,2005,논현로 209,, ,-,-
서울특별시 강남구 도곡동,967,967,0,경남,59.76,201407,5,"50,700",20,2005,논현로 209,, ,-,-
서울특별시 강남구 도곡동,967,967,0,경남,84.94,201407,12,"70,500",19,2005,논현로 209,, ,-,-
서울특별시 강남구 도곡동,967,967,0,경남,59.76,201407,26,"53,000",6,2005,논현로 209,, ,-,-
서울특별시 강남구 도곡동,967,967,0,경남,59.76,201408,6,"52,500",2,2005,논현로 209,, ,-,-
서울특별시 강남구 도곡동,967,967,0,경남,59.76,201408,9,"51,800",8,2005,논현로 209,, ,-,-
서울특별시 강남구 도곡동,967,967,0,경남,84.94,201408,14,"60,000",1,2005,논현로 209,, ,-,-
서울특별시 강남구 도곡동,967,967,0,경남,59.76,201408,29,"55,000",10,2005,논현로 209,, ,-,-
서울특별시 강남구 도곡동,967,967,0,경남,84.94,201409,11,"70,000",5,2005,논현로 209,, ,-,-
서울특별시 강남구 도곡동,967,967,0,경남,84.94,201409,19,"70,500",19,2005,논현로 209,, ,-,-
서울특별시 강남구 도곡동,967,967,0,경남,59.76,201411,10,"48,000",1,2005,논현로 209,, ,-,-
서울특별시 강남구 도곡동,967,967,0,경남,84.94,201412,11,"72,000",20,2005,논현로 209,, ,-,-
서울특별시 강남구 도곡동,967,967,0,경남,84.94,201412,12,"69,800",4,2005,논현로 209,, ,-,-
서울특별시 강남구 도곡동,967,967,0,경남,59.76,201412,12,"56,500",8,2005,논현로 209,, ,-,-
서울특별시 강남구 도곡동,967,967,0,경남,84.94,201412,14,"70,500",5,2005,논현로 209,, ,-,-
서울특별시 강남구 도곡동,967,967,0,경남,84.94,201412,16,"72,000",19,2005,논현로 209,, ,-,-
서울특별시 강남구 도곡동,967,967,0,경남,84.94,201412,20,"71,500",15,2005,논현로 209,, ,-,-
서울특별시 강남구 도곡동,967,967,0,경남,59.76,201412,29,"53,850",20,2005,논현로 209,, ,-,-
서울특별시 강남구 도곡동,190-3,190,3,그랜빌캐슬,108.5,201401,27,"79,500",5,2003,남부순환로379길 35,, ,-,-
서울특별시 강남구 도곡동,190-3,190,3,그랜빌캐슬,143.87,201409,19,"140,000",4,2003,남부순환로379길 35,, ,-,-
서울특별시 강남구 도곡동,960,960,0,대림,84.93,201401,2,"64,500",13,1992,남부순환로365길 16,, ,-,-
서울특별시 강남구 도곡동,960,960,0,대림,84.93,201401,21,"60,000",4,1992,남부순환로365길 16,, ,-,-
서울특별시 강남구 도곡동,960,960,0,대림,84.95,201401,22,"60,000",2,1992,남부순환로365길 16,, ,-,-
서울특별시 강남구 도곡동,960,960,0,대림,84.93,201401,23,"64,100",13,1992,남부순환로365길 16,, ,-,-
서울특별시 강남구 도곡동,960,960,0,대림,84.95,201402,1,"60,000",7,1992,남부순환로365길 16,, ,-,-
서울특별시 강남구 도곡동,960,960,0,대림,84.93,201402,3,"63,900",9,1992,남부순환로365길 16,, ,-,-
서울특별시 강남구 도곡동,960,960,0,대림,84.95,201402,7,"60,000",7,1992,남부순환로365길 16,, ,-,-
서울특별시 강남구 도곡동,960,960,0,대림,84.93,201402,26,"65,500",7,1992,남부순환로365길 16,, ,-,-
서울특별시 강남구 도곡동,960,960,0,대림,84.93,201403,12,"67,900",13,1992,남부순환로365길 16,, ,-,-
서울특별시 강남구 도곡동,960,960,0,대림,84.95,201408,1,"66,500",7,1992,남부순환로365길 16,, ,-,-
서울특별시 강남구 도곡동,960,960,0,대림,84.93,201408,7,"68,000",11,1992,남부순환로365길 16,, ,-,-
서울특별시 강남구 도곡동,960,960,0,대림,84.93,201408,31,"67,000",10,1992,남부순환로365길 16,, ,-,-
서울특별시 강남구 도곡동,960,960,0,대림,84.95,201410,19,"68,500",7,1992,남부순환로365길 16,, ,-,-
서울특별시 강남구 도곡동,960,960,0,대림,84.93,201411,24,"69,800",8,1992,남부순환로365길 16,, ,-,-
서울특별시 강남구 도곡동,960,960,0,대림,84.95,201412,26,"60,000",3,1992,남부순환로365길 16,, ,-,-
서울특별시 강남구 도곡동,467-6,467,6,대림아크로빌,172.464,201401,6,"130,000",25,1999,언주로30길 13,, ,-,-
서울특별시 강남구 도곡동,467-6,467,6,대림아크로빌,177.255,201401,16,"136,000",26,1999,언주로30길 13,, ,-,-
서울특별시 강남구 도곡동,467-6,467,6,대림아크로빌,130.545,201401,18,"96,000",32,1999,언주로30길 13,, ,-,-
서울특별시 강남구 도곡동,467-6,467,6,대림아크로빌,138.657,201401,28,"113,000",45,1999,언주로30길 13,, ,-,-
서울특별시 강남구 도곡동,467-6,467,6,대림아크로빌,146.754,201402,5,"95,000",10,1999,언주로30길 13,, ,-,-
서울특별시 강남구 도곡동,467-6,467,6,대림아크로빌,130.545,201402,6,"94,500",22,1999,언주로30길 13,, ,-,-
