시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,등기신청일자,거래유형,중개사소재지
서울특별시 강남구 역삼동,682-1,682,1,Bienestar,127.3819,202205,24,"263,000",7,2019,선릉로107길 16,, ,직거래,-
서울특별시 강남구 역삼동,755-4,755,4,e-편한세상,59.606,202203,31,"212,500",22,2005,선릉로69길 20,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,755-4,755,4,e-편한세상,84.991,202205,16,"250,000",3,2005,선릉로69길 20,, ,직거래,-
서울특별시 강남구 역삼동,902,902,0,강남센트럴아이파크,84.915,202210,6,"300,000",8,2022,테헤란로44길 26,, ,중개거래,"서울 강남구, 서울 송파구"
서울특별시 강남구 역삼동,902,902,0,강남센트럴아이파크,125.462,202211,16,"408,000",18,2022,테헤란로44길 26,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,902,902,0,강남센트럴아이파크,84.99,202212,28,"290,000",19,2022,테헤란로44길 26,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,823-7,823,7,강남역우정에쉐르,17.13,202201,5,"20,500",11,2004,테헤란로10길 10,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,823-7,823,7,강남역우정에쉐르,17.23,202202,16,"20,500",11,2004,테헤란로10길 10,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,716-3,716,3,개나리SK뷰,84.99,202208,1,"270,000",13,2012,역삼로 315-1,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,754,754,0,개나리래미안,129.8,202201,3,"325,000",14,2006,역삼로 306,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,754,754,0,개나리래미안,129.8,202201,26,"315,000",18,2006,역삼로 306,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,754,754,0,개나리래미안,114.65,202206,14,"335,000",5,2006,역삼로 306,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,755-1,755,1,개나리푸르지오,59.6851,202204,20,"240,000",6,2006,역삼로 314,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,755-1,755,1,개나리푸르지오,132.8355,202204,28,"400,000",14,2006,역삼로 314,, ,중개거래,"서울 강남구, 서울 서초구"
서울특별시 강남구 역삼동,783-28,783,28,갤러리아트,80.39,202201,3,"76,000",5,2002,언주로63길 30,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,783-30,783,30,공간쉐르빌,78.08,202205,12,"83,000",2,2003,언주로63길 32,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,835-67,835,67,금호어울림,132.88,202202,14,"208,000",14,2003,도곡로7길 22,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,727-2,727,2,대명벨리온,17.684,202204,30,"20,500",3,2012,역삼로25길 27,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,727-2,727,2,대명벨리온,17.684,202209,1,"20,080",4,2012,역삼로25길 27,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,720-25,720,25,대우디오빌,30.03,202203,12,"33,000",17,2002,언주로 427,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,720-25,720,25,대우디오빌,30.03,202203,19,"32,400",14,2002,언주로 427,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,720-25,720,25,대우디오빌,30.03,202204,22,"32,900",16,2002,언주로 427,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,720-25,720,25,대우디오빌,30.03,202204,30,"32,000",8,2002,언주로 427,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,720-25,720,25,대우디오빌,30.03,202206,13,"32,000",6,2002,언주로 427,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,720-25,720,25,대우디오빌,30.03,202208,11,"33,000",14,2002,언주로 427,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,720-25,720,25,대우디오빌,30.03,202209,2,"33,000",6,2002,언주로 427,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,720-25,720,25,대우디오빌,30.03,202210,14,"34,000",14,2002,언주로 427,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,720-25,720,25,대우디오빌,30.03,202210,14,"34,000",14,2002,언주로 427,20230125, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,720-25,720,25,대우디오빌,39.13,202212,20,"32,000",15,2002,언주로 427,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,720-25,720,25,대우디오빌,39.13,202212,23,"32,000",15,2002,언주로 427,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,824-25,824,25,대우디오빌플러스,34.41,202204,19,"29,000",2,2004,강남대로84길 33,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,824-25,824,25,대우디오빌플러스,34.41,202205,6,"32,000",5,2004,강남대로84길 33,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,824-25,824,25,대우디오빌플러스,43.99,202205,6,"45,300",4,2004,강남대로84길 33,, ,중개거래,서울 서초구
서울특별시 강남구 역삼동,824-25,824,25,대우디오빌플러스,34.41,202206,7,"31,900",5,2004,강남대로84길 33,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,762-3,762,3,래미안그레이튼(진달래2차),105.89,202207,20,"287,000",25,2010,도곡로43길 21,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,762-3,762,3,래미안그레이튼(진달래2차),59.91,202209,18,"190,000",11,2010,도곡로43길 21,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,713-7,713,7,래미안펜타빌,157.37,202208,29,"360,000",10,2007,역삼로 309,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,787-4,787,4,리츠빌아파트,93.22,202211,16,"85,000",4,2003,논현로64길 28,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,728-6,728,6,마이다스힐빌라트,243.52,202201,28,"72,000",2,2003,역삼로25길 20,, ,직거래,-
서울특별시 강남구 역삼동,747-5,747,5,브라운스톤역삼,59.96,202201,27,"109,000",7,2004,역삼로 171,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,747-5,747,5,브라운스톤역삼,59.96,202204,15,"98,000",12,2004,역삼로 171,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,747-5,747,5,브라운스톤역삼,59.96,202206,10,"95,000",12,2004,역삼로 171,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,765-32,765,32,역삼2차아이파크,84.891,202203,19,"266,000",18,2008,도곡로57길 12,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,713-11,713,11,역삼I'PARK,28.246,202201,7,"85,400",5,2006,역삼로 307,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,713-11,713,11,역삼I'PARK,28.246,202201,12,"86,000",18,2006,역삼로 307,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,713-11,713,11,역삼I'PARK,130.143,202201,21,"340,000",4,2006,역삼로 307,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,713-11,713,11,역삼I'PARK,28.246,202202,17,"84,800",6,2006,역삼로 307,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,713-11,713,11,역삼I'PARK,131.38,202205,26,"360,000",16,2006,역삼로 307,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,713-11,713,11,역삼I'PARK,131.38,202206,18,"360,000",4,2006,역삼로 307,, ,중개거래,서울 강남구
